,"('PC1',)","('PC2',)","('PC3',)","('U238_ppm',)","('Th232_ppm',)",oscillatory_zonation,sector_zonation,homogenous_zonation,SiO2_pct,Dataset,GSWA_sample_id,bin
110,-2.767165245801991,-0.15021468065012494,0.34275820300690013,108.1378804,53.83460761,1.0,0.0,1.0,47.991,train,194747.0,50.0
111,-2.998070515372861,-1.1276231124589031,0.2634119088878487,399.44891025,278.5774869,1.0,0.0,1.0,47.991,train,194747.0,50.0
112,-2.830427837759412,1.697857281393234,0.14600351257941077,282.70673665,212.91627875,1.0,0.0,1.0,47.991,train,194747.0,50.0
113,-2.7551942297273495,-1.0882273242636131,0.1990632654098604,250.27359249999998,148.53756624,1.0,0.0,1.0,47.991,train,194747.0,50.0
114,-2.620979165481415,-1.6758180991475913,0.2118166066507925,263.72622465,338.4363336,1.0,0.0,1.0,47.991,train,194747.0,50.0
115,-1.9492479432028396,1.857611970228418,-0.34581583914123853,238.65649175,180.5991477,1.0,0.0,1.0,47.991,train,194747.0,50.0
116,-2.3157647179782375,1.259536816722027,-0.006466816813459486,416.79696835,347.2321071,1.0,0.0,1.0,47.991,train,194747.0,50.0
117,-2.8873296797154135,-2.5465880584142253,-0.03918575623337506,285.9242178,185.11473395000002,1.0,0.0,1.0,47.991,train,194747.0,50.0
118,-1.3028080190252151,4.1515444290459,-0.31374325541668596,332.3587722,311.92769565000003,1.0,0.0,1.0,47.991,train,194747.0,50.0
119,-3.012184393507098,-1.5263146431586452,0.37387810078289113,255.26468475000001,205.31922255,1.0,0.0,1.0,47.991,train,194747.0,50.0
120,-2.0573730949521813,0.5258543702434163,0.8594116447392468,332.2112969,570.64346105,1.0,0.0,1.0,46.553,train,194762.0,50.0
121,-2.0324927826347174,0.735118393753942,0.47244623051945295,614.73137245,1395.241698,1.0,0.0,1.0,46.553,train,194762.0,50.0
122,-1.943274686082684,0.7232268042204743,0.23817000655597267,580.2699006,1175.8808119999999,1.0,0.0,1.0,46.553,train,194762.0,50.0
123,-2.0473410371509386,-2.7240775549241723,0.6105160663298574,629.80627365,1758.45546005,1.0,0.0,1.0,46.553,train,194762.0,50.0
124,-2.340740916856933,-0.7991499447636649,0.18172274688746606,428.43509205,833.33181205,1.0,0.0,1.0,46.553,train,194762.0,50.0
125,-2.004778737311175,-1.9051803199830961,0.2208145280497834,678.39383235,1637.5221925,1.0,0.0,1.0,46.553,train,194762.0,50.0
126,-2.1742169460083134,-0.46319119851404766,0.24913364985160646,710.1064073499999,1527.377813,1.0,0.0,1.0,46.553,train,194762.0,50.0
127,-1.4804365976795513,-2.643689927409081,0.6386442041965407,749.9285072,2211.1488395,1.0,0.0,1.0,46.553,train,194762.0,50.0
128,-2.0322514593872145,-0.864187090373682,0.6485581355408501,654.3593912,1480.6296823500002,1.0,0.0,1.0,46.553,train,194762.0,50.0
129,-1.490227332233291,-0.9930634863691172,1.0636516876273274,491.9615492,1108.72482485,1.0,0.0,1.0,46.553,train,194762.0,50.0
130,-1.4904686554807944,0.6062419977585075,0.8875397826059302,452.33353045,1023.3368405,1.0,0.0,1.0,46.553,train,194762.0,50.0
