FOLD 1 
,actual,predicted,repeat,fold
0,0.40011698,0.662668,0.6687219,8.228674,4.1196833,36.348938,0,6

FOLD 8 
,actual,predicted,repeat,fold
0,49.117,45.853855,0,7
1,56.844,57.459248,0,7
2,50.1,41.616722,0,7
3,50.1,46.32904,0,7
4,46.553,48.0677,0,7
5,68.5,42.671116,0,7
6,49.199,47.66064,0,7
7,47.991,51.872982,0,7
8,46.553,48.679203,0,7
9,54.665,57.93587,0,7
10,49.199,48.2816,0,7
11,66.718,66.445114,0,7
12,66.8,64.62155,0,7
13,52.035,55.020523,0,7
14,55.698,57.150005,0,7
15,64.728,55.059704,0,7
16,61.596,54.61468,0,7
17,66.718,61.189434,0,7
18,68.51,51.67968,0,7
19,50.02,51.486645,0,7
20,63.145,48.07687,0,7
21,50.72,55.656643,0,7
22,50.02,55.76418,0,7
23,47.991,56.55354,0,7
24,51.967,46.673435,0,7
25,67.32,64.61724,0,7
26,67.515,63.831802,0,7
27,49.117,45.630184,0,7
28,51.967,49.133183,0,7
29,61.596,53.281483,0,7
30,47.963,45.2998,0,7
31,55.698,54.091557,0,7
32,63.145,58.02698,0,7
33,64.02,59.640945,0,7
34,66.914,65.196495,0,7
35,66.18,54.020977,0,7
36,68.51,59.247295,0,7
37,59.879,31.90556,0,7
38,50.02,57.45239,0,7
39,66.718,58.40897,0,7
40,61.596,59.0059,0,7
41,54.665,55.15996,0,7
42,63.145,50.090244,0,7
43,66.18,65.583275,0,7
44,66.914,59.11751,0,7
45,64.15,61.93751,0,7
46,49.12,56.22879,0,7
47,63.145,45.029106,0,7
48,54.665,56.779163,0,7
49,50.72,55.33302,0,7
50,53.068,51.20151,0,7
51,51.967,49.08561,0,7
52,64.15,59.819736,0,7
53,68.51,54.67969,0,7
54,67.32,67.20863,0,7
55,47.963,42.3287,0,7
56,68.5,72.38509,0,7
57,46.553,52.465298,0,7
58,53.068,43.94891,0,7
59,64.15,61.005657,0,7
60,68.5,76.18678,0,7
61,47.991,55.421707,0,7
62,68.5,51.697506,0,7
63,47.963,44.41159,0,7
64,66.718,66.13953,0,7
65,68.51,56.93982,0,7
66,50.72,59.233597,0,7
67,66.718,62.868805,0,7
68,61.596,50.680836,0,7
69,49.157,57.677113,0,7
70,54.665,56.3783,0,7
71,50.363,55.86146,0,7
72,54.665,56.266056,0,7
73,47.991,47.20098,0,7
74,66.914,65.47118,0,7
75,59.879,61.68855,0,7
76,64.02,53.900368,0,7
77,52.035,48.971043,0,7
78,50.1,47.847828,0,7
79,50.363,56.597015,0,7
80,66.54,63.883656,0,7
81,64.15,61.2766,0,7
82,61.596,56.419315,0,7
83,49.12,46.480118,0,7

,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,0.0015240908,0.515934,0.5545085,9.717296,5.1619997,60.50103,0,7

FOLD 9 
,actual,predicted,repeat,fold
0,49.117,52.71535,0,8
1,56.844,56.48898,0,8
2,50.1,43.172794,0,8
3,50.1,47.288902,0,8
4,46.553,52.57314,0,8
5,68.5,55.947292,0,8
6,49.199,53.042866,0,8
7,47.991,57.325985,0,8
8,46.553,53.510227,0,8
9,54.665,58.367188,0,8
10,49.199,51.415653,0,8
11,66.718,66.63371,0,8
12,66.8,66.633095,0,8
13,52.035,61.806263,0,8
14,55.698,56.363117,0,8
15,64.728,62.23531,0,8
16,61.596,56.30251,0,8
17,66.718,63.12584,0,8
18,68.51,57.726276,0,8
19,50.02,56.734783,0,8
20,63.145,50.73788,0,8
21,50.72,56.69887,0,8
22,50.02,56.674046,0,8
23,47.991,53.56955,0,8
24,51.967,51.163437,0,8
25,67.32,64.62059,0,8
26,67.515,64.48802,0,8
27,49.117,55.013065,0,8
28,51.967,50.840412,0,8
29,61.596,53.656925,0,8
