,actual,predicted
1,66.54,63.38195
2,64.15,62.909206
3,64.15,61.081055
4,54.665,62.837475
5,47.963,47.264954
6,53.068,59.54151
7,54.665,60.971905
8,66.18,61.557526
9,56.844,57.050846
10,65.66,63.88933
11,63.145,44.132843
12,64.02,79.48344
13,54.665,59.59221
14,49.12,66.88767
15,49.117,51.454334
16,67.32,63.61702
17,49.199,58.376312
18,66.914,68.27208
19,52.035,56.098446
20,68.51,51.580135
21,49.179,47.408882
22,61.596,56.088055
23,50.363,57.019367
24,50.02,63.7023
25,50.1,42.98859
26,68.5,71.755035
27,61.596,57.71002
28,56.844,56.349125
29,50.1,22.629585
30,63.145,48.540787
31,50.1,36.434605
32,64.15,60.725815
33,67.515,55.06353
34,50.72,53.807137
35,63.145,47.28174
36,61.596,61.555767
37,52.035,52.560818
38,55.698,59.943344
39,50.1,24.229418
40,49.199,57.209152
41,66.718,66.624374
42,52.035,59.943153
43,52.035,51.894688
44,51.967,39.854664
45,53.068,55.030117
46,65.66,65.33854
47,65.66,67.34541
48,67.32,67.10449
49,66.54,60.783653
50,46.553,43.91264
51,67.32,63.82803
52,52.035,63.430885
53,66.718,63.259777
54,66.54,56.013653
55,64.728,63.2247
56,49.157,51.406322
57,64.15,56.826897
58,66.18,59.259
59,66.914,67.036644
60,49.157,56.28438
61,68.51,60.35327
62,66.718,64.32154
63,64.15,65.88609
64,68.51,64.14459
65,66.54,60.60726
66,61.596,61.675243
67,51.967,42.04297
68,50.565,56.123653
69,68.5,86.83036
70,61.596,63.752552
71,68.5,67.55712
72,50.72,55.412766
73,50.02,64.512375
74,64.02,60.71009
75,47.991,62.551445
76,49.199,53.38928
77,63.145,41.711323
78,59.879,79.789215
79,50.565,64.06463
80,50.72,54.335674
81,49.157,52.572304
82,49.297,53.2289
83,49.12,66.5883
84,46.553,55.64338
85,47.991,60.54769
86,53.068,49.89839
87,50.565,59.281418
88,52.035,54.5966
89,67.32,58.001354
90,68.51,58.0804
91,47.991,53.60873
92,54.665,60.916565
93,54.665,57.393143
94,67.32,63.010395
95,64.15,63.02091
96,47.991,66.672295
97,56.844,58.540497
98,66.18,66.17411
99,62.028,53.063614
100,54.665,60.41466
101,66.718,65.73524
102,51.967,40.11702
103,51.967,33.739796
104,49.117,49.914726
105,46.553,51.04347
106,47.991,60.732162
107,66.914,56.55855
108,68.51,61.42968
109,50.363,30.827166
